id,width,height
953088-3,2000,1500
942333-0,4000,3000
885547-0,2048,1536
2136255-0,2736,3648
2039741-1,4000,3000
2214286-1,2080,1560
813184-1,1632,1224
981552-2,2080,1560
2177649-0,1940,2592
1149001-2,1560,2080
850967-2,2080,1560
882655-2,2016,1512
881407-0,2016,1512
895738-1,1560,2080
936012-1,1152,864
968576-2,4000,3000
756268-0,2080,1560
654821-1,2304,1728
949599-1,2016,1512
1618407-1,1560,2080
1322169-1,3456,4608
812239-2,1632,1224
740316-0,1728,2304
1353225-2,1632,1224
1046256-1,3000,4000
669575-1,3000,4000
669622-0,1224,1632
1187330-0,1560,2080
756186-0,2000,1500
2004417-0,2000,1500
813912-0,1632,1224
755984-2,4608,3456
877769-0,1224,1632
905979-0,1536,2048
1018645-1,3456,4608
1331646-0,1728,2304
770782-0,1728,2304
1015503-1,3000,4000
1472172-1,1224,1632
728788-1,1952,1464
756203-0,1728,2304
864160-1,4000,3000
513588-1,2048,1536
1051806-0,2000,1500
936854-2,2000,1500
810438-1,4608,3456
2102618-1,1488,1984
849664-2,1500,2000
869274-2,2000,1500
669635-0,4000,3000
918532-2,2304,1728
770805-0,2000,1500
671655-1,1512,2016
663538-2,1464,1952
2129349-0,2048,1536
900407-1,1728,2304
808351-0,2080,1560
740319-0,1728,2304
756286-0,1560,2080
813283-1,1488,1984
759331-2,1500,2000
745564-0,2736,3648
899888-0,3648,2736
514842-1,3000,4000
2125771-3,1500,2000
971255-2,3456,4608
768734-1,2000,1500
994157-2,2000,1500
910926-2,2736,3648
1353216-2,2000,1500
395086-1,3456,4608
868491-1,2736,3648
809418-0,4000,3000
745543-0,2736,3648
2178180-1,2048,1536
1021646-2,1632,1224
968462-1,3456,4608
744668-0,1728,2304
681471-2,4608,3456
1021646-1,1632,1224
681117-2,1632,1224
756289-1,1560,2080
514683-0,3648,2736
654934-2,1952,1464
755974-1,2016,1512
781104-2,1536,2048
1100390-0,1224,1632
806869-0,2000,1500
669722-1,1224,1632
1106655-0,2000,1500
1330136-0,4608,3456
756318-0,1464,1952
765778-2,2312,1734
674290-0,1560,2080
856211-1,1488,1984
1298750-2,2080,1560
2214279-0,1464,1952
972683-2,3456,4608
669722-2,1224,1632
730035-1,2000,1500
2181559-1,2016,1512
663546-1,3000,4000
1975644-2,2040,1536
768697-0,3456,4608
1022812-1,2000,1500
1015544-2,2000,1500
779854-2,2080,1560
789144-0,2080,1560
935098-0,3456,4608
1343564-1,1728,2304
755594-1,3000,4000
1251843-0,2736,3648
785485-1,3456,4608
810604-0,1496,2000
1021646-0,1224,1632
767674-0,2080,1560
810698-2,2040,1536
2087735-1,2016,1512
775102-1,4000,3000
878496-2,1500,2000
756283-1,1464,1952
2251336-2,3648,2736
735434-0,2000,1500
312796-1,2080,1560
1311928-1,4000,3000
926240-1,1728,2304
1075898-0,1500,2000
859199-1,1728,2304
844549-0,1560,2080
1251953-2,2736,3648
767026-2,3648,2736
755983-0,2000,1500
1281374-1,1560,2080
2208136-2,2080,1560
669672-1,1224,1632
751726-0,3456,4608
667234-0,3456,4608
513617-1,2736,3648
2207926-3,2080,1560
999155-0,1536,2048
1281271-1,1536,2048
814245-2,3648,2736
878391-0,2040,1536
880179-0,4608,3456
758043-2,3648,2736
1149819-1,4000,3000
1021648-1,2628,3504
975745-2,3504,2628
877775-0,2736,3648
812345-2,2000,1500
608736-0,2000,1500
669651-1,2000,1500
876962-1,3072,4096
1196018-0,2000,1500
1712729-1,1728,2304
739230-2,2080,1560
1319986-2,2304,1728
812345-1,2000,1500
2257785-0,2000,1500
